z: 0.0007
q: 0.001
j: 0.0015
x: 0.0015
k: 0.0077
v: 0.0098
b: 0.015
p: 0.0193
y: 0.0197
g: 0.0202
f: 0.0223
w: 0.0236
m: 0.0241
u: 0.0276
c: 0.0278
l: 0.0403
d: 0.0425
r: 0.0599
h: 0.0609
s: 0.0633
n: 0.0675
i: 0.0697
o: 0.0751
a: 0.0817
t: 0.0906
e: 0.127
