
Z,0,0
F,1,0.0015
G,1,0.0015
A,5,0.0077
C,5,0.0077
E,5,0.0077
O,7,0.0108
Q,7,0.0108
L,8,0.0124
T,13,0.0201
N,17,0.0263
S,17,0.0263
Y,19,0.0294
X,20,0.0310
V,22,0.0341
D,23,0.0356
H,23,0.0356
U,24,0.0372
P,30,0.0464
I,41,0.0635
W,47,0.0728
J,48,0.0743
K,49,0.0759
M,62,0.0960
B,68,0.1053
R,84,0.1300
