Z,0
F,1
G,1
A,5
C,5
E,5
O,7
Q,7
L,8
T,13
N,17
S,17
Y,19
X,20
V,22
D,23
H,23
U,24
P,30
I,41
W,47
J,48
K,49
M,62
B,68
R,84
